pauta,link,data,editoria,freq_edi
LANÇAMENTO DIA LIVRE DE IMPOSTO - SEGUNDA,https://trello.com/c/S3Y2D9I9,2024-05-31T13:19:37.098Z,Economia,704
LANÇAMENTO DIA LIVRE DE IMPOSTO - SEGUNDA,https://trello.com/c/S3Y2D9I9,2024-05-31T13:19:37.098Z,ALEX RÉGIS,15
QUEDA NA ARRECADAÇÃO DO ICMS,https://trello.com/c/4ZnrRa3b,2024-06-05T20:59:37.978Z,Economia,704
QUEDA NA ARRECADAÇÃO DO ICMS,https://trello.com/c/4ZnrRa3b,2024-06-05T20:59:37.978Z,Dia,1955
PIQUETE DO COMANDO DE GREVE DO IFRN / MOBILIZAÇÃO DE GREVISTAS DA UFRN,https://trello.com/c/RKmmh8lE,2024-06-05T20:59:36.310Z,Dia,1955
PIQUETE DO COMANDO DE GREVE DO IFRN / MOBILIZAÇÃO DE GREVISTAS DA UFRN,https://trello.com/c/RKmmh8lE,2024-06-05T20:59:36.310Z,Natal,1515
PIQUETE DO COMANDO DE GREVE DO IFRN / MOBILIZAÇÃO DE GREVISTAS DA UFRN,https://trello.com/c/RKmmh8lE,2024-06-05T20:59:36.310Z,MAGNUS NASCIMENTO,46
TOKENIZAÇÃO IMOBILIÁRIA,https://trello.com/c/YNd7g5ku,2024-06-05T20:59:33.730Z,Economia,704
TOKENIZAÇÃO IMOBILIÁRIA,https://trello.com/c/YNd7g5ku,2024-06-05T20:59:33.730Z,Dia,1955
MOTORES DO DESENVOLVIMENTO - PPPs e concessões,https://trello.com/c/zY498AhH,2024-06-05T20:59:30.838Z,Pauta sem editoria,0
SEMANA DE RENEGOCIAÇÃO DE DÍVIDA PARA OS MICRO E PEQUENOS EMPREENDEDORES - SEBRAE,https://trello.com/c/bBJMneb6,2024-06-04T20:47:28.431Z,Economia,704
SEMANA DE RENEGOCIAÇÃO DE DÍVIDA PARA OS MICRO E PEQUENOS EMPREENDEDORES - SEBRAE,https://trello.com/c/bBJMneb6,2024-06-04T20:47:28.431Z,Dia,1955
SEMANA DE RENEGOCIAÇÃO DE DÍVIDA PARA OS MICRO E PEQUENOS EMPREENDEDORES - SEBRAE,https://trello.com/c/bBJMneb6,2024-06-04T20:47:28.431Z,ALEX RÉGIS,15
CENSO DOS PROFESSORES - CADÊ O RESULTADO?,https://trello.com/c/BPG4ccqn,2024-06-05T20:59:24.673Z,Dia,1955
CENSO DOS PROFESSORES - CADÊ O RESULTADO?,https://trello.com/c/BPG4ccqn,2024-06-05T20:59:24.673Z,Natal,1515
SEMANA DO MEIO AMBIENTE - DOIS A,https://trello.com/c/yvCXZUAp,2024-05-28T18:20:40.953Z,Dia,1955
