pauta,link,data,editoria,freq_edi
DESVIO BR,https://trello.com/c/4kjfYjzt,2024-05-17T15:08:51.669Z,Natal,1515
AUMENTO DO PREÇO DOS REMÉDIOS,https://trello.com/c/lq7G91S6,2024-04-01T21:58:09.755Z,Dia,1955
AUMENTO DO PREÇO DOS REMÉDIOS,https://trello.com/c/lq7G91S6,2024-04-01T21:58:09.755Z,Economia,704
PLANTÃO - MOVIMENTAÇÃO DE TURISTAS NO FERIADÃO,https://trello.com/c/FWdokrNo,2024-04-01T17:40:45.830Z,Domingo,487
PLANTÃO - MOVIMENTAÇÃO DE TURISTAS NO FERIADÃO,https://trello.com/c/FWdokrNo,2024-04-01T17:40:45.830Z,Geral,3
CDL PROPÕE CONSTRUIR MORADIAS PARA TRABALHADORES DO COMÉRCIO DA RIBEIRA,https://trello.com/c/zBgqJyif,2024-04-01T14:58:53.037Z,Dia,1955
CDL PROPÕE CONSTRUIR MORADIAS PARA TRABALHADORES DO COMÉRCIO DA RIBEIRA,https://trello.com/c/zBgqJyif,2024-04-01T14:58:53.037Z,Economia,704
PROJETO DE LEI COMPLEMENTAR UBER,https://trello.com/c/xU5z4RIe,2024-04-11T13:29:40.559Z,Dia,1955
PROJETO DE LEI COMPLEMENTAR UBER,https://trello.com/c/xU5z4RIe,2024-04-11T13:29:40.559Z,Natal,1515
1º LEILÃO DE TRANSMISSÃO DE ENERGIA ELÉTRICA,https://trello.com/c/0Ez6tl3a,2024-04-01T17:40:35.924Z,Dia,1955
1º LEILÃO DE TRANSMISSÃO DE ENERGIA ELÉTRICA,https://trello.com/c/0Ez6tl3a,2024-04-01T17:40:35.924Z,Economia,704
AUMENTO DO PREÇO DA BANANA,https://trello.com/c/VPtj1YrC,2024-04-01T21:58:17.023Z,Pauta sem editoria,0
CHUVAS NO INTERIOR / AUMENTO DO VOLUME DOS RIOS/ALAGAMENTO DE BR 304,https://trello.com/c/qfz4guHY,2024-03-27T21:28:10.180Z,Dia,1955
