IDmembers,reporter_fotografo,pauta,link,data
60f844aeb93bca671c3fe551,Bruno Vital,FAMÍLIAS INVADEM CANTEIROS DA AVENIDA DAS ALAGOAS,https://trello.com/c/2MW4OufC,2023-12-11T12:35:47.438Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,CAMELÔS INVADEM ÚNICO CALCADÃO DISPONÍVEL DO ALECRIM,https://trello.com/c/AHzc8LNz,2023-12-26T16:39:50.450Z
60f844aeb93bca671c3fe551,Bruno Vital,PLANTÃO DE SÁBADO - INAUGURAÇÃO DA PEDRA FUNDAMENTAL DO JARDINS DO POTENGI,https://trello.com/c/BFlOPSBU,2023-12-09T13:15:34.842Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,FISCALIZAÇÃO DA ESTRUTURA DO CARNATAL,https://trello.com/c/2MOYKS2l,2023-12-08T13:04:52.550Z
60f844aeb93bca671c3fe551,Bruno Vital,LEI GARANTE LIVRE CIRCULAÇÃO DE ANIMAIS DOMÉSTICOS EM CONDOMÍNIOS,https://trello.com/c/QPKEKCZi,2023-12-18T13:13:05.979Z
60f844aeb93bca671c3fe551,Bruno Vital,ESPECIAL MARISTA,https://trello.com/c/XKAPehMj,2023-12-08T17:04:47.058Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,GOVERNO DEVE DUODÉCIMO AO TJRN,https://trello.com/c/xJO1Z80j,2023-12-26T16:40:27.253Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,HÁ QUANTO TEMPO O GOVERNO NÃO PAGA EM DIA O 13º,https://trello.com/c/mVr2toqR,2023-12-08T17:04:58.833Z
60f844aeb93bca671c3fe551,Bruno Vital,BURACO NA PONTE NOVA VOLTA A ABRIR,https://trello.com/c/V561NmcV,2023-12-05T16:47:49.175Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,AUMENTO DA OCUPAÇÃO NOS HOTÉIS DURANTE O CARNATAL,https://trello.com/c/km0Rm5NQ,2023-12-05T21:12:38.540Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,PROCURA POR PRODUTOS DE DECORAÇÃO NATALINA,https://trello.com/c/DZi75uUz,2023-12-05T21:14:49.453Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,REGULAMENTAÇÃO DAS LEIS DAS PPP´S,https://trello.com/c/ScUicia3,2023-12-05T14:53:36.742Z
60f844aeb93bca671c3fe551,Bruno Vital,HIDRATAÇÃO DE PETS NO VERÃO E DOENÇAS DERMATOLÓGICAS,https://trello.com/c/0TZMXjTa,2024-01-23T00:31:47.473Z
60f844aeb93bca671c3fe551,Bruno Vital,ATRASO PAGAMENTO DO 13º A SERVIDORES DO RN,https://trello.com/c/ChH2eAWy,2023-12-05T16:43:11.020Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,AUMENTO DE POSTOS DE TRABALHO EM SHOPPINGS NESTE FIM DE ANO,https://trello.com/c/P94C4W10,2023-12-05T21:12:46.839Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,QUANDO AS PARADAS DA RIBEIRA VÃO VOLTAR A SER REPARADAS?,https://trello.com/c/yj8rTLGn,2023-12-26T16:40:36.985Z
60f844aeb93bca671c3fe551,Bruno Vital,ESTUDOS DO INSTITUTO ATENA,https://trello.com/c/qpwOIS3M,2023-12-05T21:13:50.988Z
60f844aeb93bca671c3fe551,Bruno Vital,AREIA NA PISTA - AVENIDA JOÃO MEDEIROS FILHO,https://trello.com/c/9BQuQkIC,2023-12-04T21:17:34.310Z
60f844aeb93bca671c3fe551,Bruno Vital,BOLSONARO EM NATAL - LANÇAMENTO DE PLATAFORMA POLÍTICA DO PL,https://trello.com/c/L3HQa1wx,2023-12-05T16:43:16.863Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,NATAL ESTÁ ENTRE OS DESTINOS MAIS PROCURADOS DO REVEILLON,https://trello.com/c/klRJ47Gx,2023-12-26T16:40:44.218Z
60f844aeb93bca671c3fe551,Bruno Vital,DIVÓRCIO LEI MARIA DA PENHA,https://trello.com/c/SRy74IuB,2023-12-05T16:43:19.191Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,COORDENADOR DE PRESÍDIO QUE VIROU PRESO NO RN,https://trello.com/c/8Zg7bTJ3,2023-12-08T17:59:32.413Z
60f844aeb93bca671c3fe551,Bruno Vital,NATAL PÓS-CHUVAS,https://trello.com/c/ZrqcITbe,2023-12-05T16:43:20.872Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,DESONERAÇÃO DA FOLHA,https://trello.com/c/9BqHdQun,2023-12-26T16:42:44.185Z
60f844aeb93bca671c3fe551,Bruno Vital,PREJUÍZOS DAS CHUVAS EM NATAL,https://trello.com/c/nwzhpD1Z,2023-12-05T16:47:53.016Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,POÇO DE PITU,https://trello.com/c/jH7jAcu9,2023-12-04T21:17:32.506Z
60f844aeb93bca671c3fe551,Bruno Vital,INVASÃO DO PRÉDIO DO MEIOS/UFRN,https://trello.com/c/4L7sc7I2,2023-11-27T20:52:11.939Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,PM: FALTA DE ACORDO COM O GOVERNO PODE COMPROMETER O CARNATAL,https://trello.com/c/bHhASMIo,2023-11-26T12:41:16.731Z
60f844aeb93bca671c3fe551,Bruno Vital,EMPREGOS ENERGIA RENOVÁVEL,https://trello.com/c/qoYIBi5z,2023-11-27T13:12:08.568Z
60f844aeb93bca671c3fe551,Bruno Vital,COMERCIANTES SÃO MULTADOS NO FERIADO,https://trello.com/c/TYRcpNIn,2023-11-23T11:28:22.733Z
60f844aeb93bca671c3fe551,Bruno Vital,HOTEL BRA - CONTINUAÇÃO,https://trello.com/c/vXzFS8X1,2023-12-05T16:47:49.940Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,NARCÓTICOS ANÔNIMOS,https://trello.com/c/VcHcjmAq,2023-11-23T13:55:50.927Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,ESIG GROUP GANHA PRÊMIO NACIONAL,https://trello.com/c/MvHMoxND,2023-11-23T19:57:20.713Z
60f844aeb93bca671c3fe551,Bruno Vital,JÚRI SIMULADO UNINASSAU,https://trello.com/c/J1x8x2LU,2023-11-22T13:30:59.906Z
60f844aeb93bca671c3fe551,Bruno Vital,SINSP: GABINETE DA SECRETÁRIA DE EDUCAÇÃO TEM 15 PROFESSORES COM 18 VÍNCULOS,https://trello.com/c/OW7ExoP3,2023-11-20T20:39:51.375Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,FACÇÕES DO RN DISPUTAM PODER,https://trello.com/c/Nu1N0a4F,2023-11-20T20:43:33.005Z
60f844aeb93bca671c3fe551,Bruno Vital,TERRENOS VIA COSTEIRA,https://trello.com/c/wUZtD5dK,2023-11-17T11:57:56.666Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,GOVERNO FEDERAL PROÍBE ACORDO DIRETO DO COMÉRCIO SOBRE TRABALHO EM FERIADO,https://trello.com/c/DElrQKgj,2023-12-26T16:43:24.679Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,MINISTRO DA PESCA EM NATAL,https://trello.com/c/VtJtK3bH,2023-12-26T16:43:19.243Z
60f844aeb93bca671c3fe551,Bruno Vital,WORKSHOP EFICIÊNCIA ENERGÉTICA,https://trello.com/c/N3x4ZOAt,2023-11-17T11:58:00.511Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,CONSTRUÇÃO DE MURO - DESABAMENTO EM NEÓPOLIS,https://trello.com/c/i08BrBwl,2023-11-13T22:37:53.844Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,ALARES,https://trello.com/c/jDxGDHjA,2023-11-13T00:03:06.023Z
60f844aeb93bca671c3fe551,Bruno Vital,WORKSHOP NEOENERGIA Empresas Eficiência Energética,https://trello.com/c/UzUFfEH6,2023-11-13T00:02:45.019Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,PONTE DOS MÁRTIRES - ENTREVISTA ERALDO PAIVA - PREFEITO DE SÃO GONÇALO,https://trello.com/c/phexX0Yf,2023-12-26T16:45:12.503Z
60f844aeb93bca671c3fe551,Bruno Vital,LANÇAMENTO SEMANA AMAZÔNIA AZUL E ECONOMIA DO MAR,https://trello.com/c/LuQc9DfF,2023-11-09T18:36:46.207Z
60f844aeb93bca671c3fe551,Bruno Vital,ENEM - SEGUNDO DIA,https://trello.com/c/BWZI7LUv,2023-11-13T00:03:52.437Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,CONTINUAÇÃO DA PAUTA MEDICAMENTOS DE ALTO CUSTO,https://trello.com/c/NSgx0gdP,2023-11-13T00:02:48.439Z
60f844aeb93bca671c3fe551,Bruno Vital,HOTEL BRA/ REPERCUSSÃO ENTIDADES DO TURISMO,https://trello.com/c/9KmwCaBQ,2023-07-11T00:56:51.824Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,REFORMA TRIBUTÁRIA REPERCUSSÃO,https://trello.com/c/YEPgxhXC,2023-07-10T01:20:04.611Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,CBTU: APENAS METADE DA ESTAÇÕES É USADA,https://trello.com/c/EKcHuVr3,2023-07-20T14:45:18.177Z
60f844aeb93bca671c3fe551,Bruno Vital,TERRENOS VIA COSTEIRA ,https://trello.com/c/32rbMdFi,2023-07-10T01:20:33.778Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,ENTREVISTA LEON AGUIAR E LUIZ EDUARDO,https://trello.com/c/eLrUPRSs,2023-07-09T23:31:58.672Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,ETE ROTA DO SOL - ACORDO VAI GARANTIR OBRAS ADEQUADAS,https://trello.com/c/LWnpnLBF,2023-07-04T20:47:10.817Z
60f844aeb93bca671c3fe551,Bruno Vital,VIA COSTEIRA: HOTELEIROS E DATANORTE,https://trello.com/c/EuImpfpw,2023-07-05T17:03:47.212Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,SEMURB ENTREGA NESTA SEMANA RESPOSTAS AO IDEMA?,https://trello.com/c/LF1wIZk8,2023-07-19T15:56:29.842Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,MERCADO DE CARROS BLINDADOS,https://trello.com/c/ZhvXKhjm,2023-11-07T15:15:22.557Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,OBRAS DAS ETE´s DA CAERN,https://trello.com/c/5YYvBcBR,2023-10-25T18:15:38.940Z
60f844aeb93bca671c3fe551,Bruno Vital,SITUAÇÃO DA ENGORDA DE PONTA NEGRA,https://trello.com/c/7YZvyTUA,2023-10-30T13:26:08.412Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,MEDICAMENTOS DE ALTO CUSTO,https://trello.com/c/qZimudoO,2023-10-30T22:30:51.354Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,ENEM: RETA FINAL 1,https://trello.com/c/EJ8d4kA1,2023-10-31T21:36:04.682Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,ALUNOS SEM ÔNIBUS ESCOLAR,https://trello.com/c/T8wk8jqO,2023-10-30T20:57:42.265Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,BALANÇO DO REFIS,https://trello.com/c/ZvdRYt47,2023-10-31T21:57:49.929Z
