RESUMO VENDAS até agosto 2024,
VEICULO,VALOR
IMPRESSO PROPAGANDA,578100.0
IMPRESSO LEGAL,1835678.79
ASSINATURAS,305675.32
DIGITAL PROPAGANDA,323680.52
DIGITAL PROGRAMÁTICA,126920.68
CROSSMEDIA,827365.17
PERMUTA COMBUSTÍVEL,17611.14
RADIO,576290.51
TOTAL,4591322.13
